category,slug,source_file,status,image_count,video_count,sample_files
Christmas Snow Globe,window-lantern,Aomil christmas snow globe窗户小扁灯(1).zip,ok,8,1,1.jpg | 2.jpg | 2.mp4 | 3.jpg | 4.jpg | 5.jpg | 6.jpg | 7.jpg
Christmas Snow Globe,ski-candle-lantern,Aomil christmas snow globe蜡烛-滑雪(1).zip,ok,11,1,1-1.jpg | 1.jpg | 2-1.jpg | 2.jpg | 2635480733358ebd771a73b15e85861.jpg | 3.jpg | 4.jpg | 5.jpg
Christmas Snow Globe,santa-candle-lantern,Aomil christmas snow globe蜡烛-圣诞老人(1).zip,ok,6,1,1600-1600-2.jpg | 1600-1600-3.jpg | 1600-1600-4.jpg | 1600-1600-5.jpg | 1600-1600-6.jpg | 1600-1600.jpg | 蜡烛.mp4
Christmas Snow Globe,new-santa-candle-lantern,蜡烛-新圣诞老人(1).zip,ok,9,1,1-1.jpg | 1.jpg | 2-1.jpg | 2.jpg | 3.jpg | 4.jpg | 5.jpg | 6.jpg
Christmas Snow Globe,snowman-candle-lantern,蜡烛-雪人(1).zip,ok,9,1,1600-1600-2.jpg | 1600-1600-3.jpg | 1600-1600-4.jpg | 1600-1600-5.jpg | 1600-1600-6.jpg | 1600-1600..jpg | 1600-1600.jpg | 1fdc90e118f58fbdfea494d4eadee89.jpg
Christmas Tree,reindeer-christmas-tree,圣诞树-飞天鹿(2).zip,ok,9,0,1.jpg | 2.jpg | 3.jpg | 4.jpg | 4a4c477af57da86a2a676e66ce89ced.jpg | 5.jpg | 6.jpg | 7.jpg
Christmas Tree,snowman-christmas-tree,圣诞树-雪人(1).zip,ok,8,0,1.jpg | 2.jpg | 2d745cf44e23fe9505c08a5bc139572.jpg | 3.jpg | 4.jpg | 5.jpg | 6.jpg | 7.jpg
Christmas Snow Globe,oval-fireplace-lantern,椭圆-壁炉(1).zip,ok,8,1,1-1.jpg | 1.jpg | 2.jpg | 3.jpg | 3.mp4 | 4.jpg | 5.jpg | 6.jpg
Christmas Snow Globe,oval-reindeer-lantern,椭圆-飞天鹿(1).zip,ok,8,1,1-1.jpg | 1.jpg | 2.jpg | 3.jpg | 3.mp4 | 4.jpg | 5.jpg | 6.jpg
Christmas Snow Globe,long-santa-lantern,长扁灯-圣诞老人(1).zip,ok,6,1,4.mp4 | 71gDynqRB0L._AC_SL1500_.jpg | 71j+iJrkAIL._AC_SL1500_.jpg | 71LystbL3nL._AC_SL1500_.jpg | 71PSAKGa5tL._AC_SL1500_.jpg | 71vKdgPJ-FL._AC_SL1500_.jpg | 81k589DhbDL._AC_SL1500_.jpg
Halloween Candle,orange-halloween-candle,aomil halloween candles万圣蜡烛-橙色.zip,ok,6,1,61mqUcxlcwL._SL1500_.jpg | 61wGhpoR84L._SL1500_.jpg | 71Bf0InFbDL._SL1500_.jpg | 71I1d3KNPbL._SL1500_.jpg | 71rgxWPXfNL._SL1500_.jpg | 71Z1ziMoZOL._SL1500_.jpg | 万圣节蜡烛灯视频-陈23.mp4
Halloween Candle,pink-halloween-candle,aomil halloween candles万圣蜡烛-粉色(1).zip,ok,6,1,613V9vyuxXL._AC_SL1500_.jpg | 61EoKanTGiL._AC_SL1500_.jpg | 718nOlJ2+JL._AC_SL1500_.jpg | 71JTJISW8jL._AC_SL1500_.jpg | 71PnA5NfbOL._AC_SL1500_.jpg | 71rsw7M7u3L._AC_SL1500_.jpg | 万圣节蜡烛灯视频-陈23.mp4
Halloween Candle,green-halloween-candle,万圣蜡烛-绿色(1).zip,ok,6,1,617VI3eDjtL._AC_SL1500_.jpg | 61ORgnbuMGL._AC_SL1500_.jpg | 718rFPEWjYL._AC_SL1500_.jpg | 71lUdbg3C4L._AC_SL1500_.jpg | 71rgxWPXfNL._AC_SL1500_.jpg | 81JtB49621L._AC_SL1500_.jpg | 万圣节蜡烛灯视频-陈23.mp4
Tree Topper,snowflake-tree-topper,aomil christmas tree topper树顶灯-雪花图案.zip,ok,7,1,1600-1600-2.jpg | 1600-1600-3.jpg | 1600-1600-4.jpg | 1600-1600-5.jpg | 1600-1600-6.jpg | 1600-1600..jpg | 1600-1600.jpg | 星星雪花.mp4
Tree Topper,star-tree-topper,Aomil christmas tree topper树顶星-五角星图案.zip,ok,6,1,1600-1600-2.jpg | 1600-1600-3.jpg | 1600-1600-4.jpg | 1600-1600-5.jpg | 1600-1600-6.jpg | 1600-1600.jpg | 星星雪花.mp4
Tree Topper,santa-tree-topper,christmas tree topper 树顶星-圣诞老人.zip,ok,6,1,1600-1600-2.jpg | 1600-1600-3.jpg | 1600-1600-4.jpg | 1600-1600-5.jpg | 1600-1600-63.jpg | 1600-1600..jpg | 星星雪花.mp4
Holiday Projector,dual-lens-projector,Aomil led projector双筒灯.zip,ok,14,0,10通用场景.jpg | 1万圣主图.jpg | 1圣诞主图.jpg | 3通用附图.jpg | 4万圣附图.jpg | 4圣诞附图.jpg | 55a37de67f56c86cfc1cc48ccc0454f.jpg | 5通用附图.jpg
Halloween Snow Globe,single-skeleton-lantern,aomil halloween snow globe万圣-单个骷髅.zip,ok,8,0,1-1.jpg | 1-2.jpg | 2.jpg | 2b203be2caecbc29f27ace4598cfdd7.jpg | 3.jpg | 4.jpg | 5.jpg | 6.jpg
Halloween Snow Globe,double-skeleton-lantern,万圣-2两个骷髅.zip,ok,8,0,1-1.jpg | 1-2.jpg | 1.jpg | 2.jpg | 3.jpg | 4.jpg | 5.jpg | 6.jpg
Halloween Snow Globe,haunted-house-lantern,万圣-房子.zip,ok,8,0,1-1.jpg | 1-2.jpg | 1.jpg | 2.jpg | 3.jpg | 4.jpg | 5.jpg | 6.jpg
Halloween Snow Globe,pumpkin-lantern,万圣-南瓜.zip,ok,8,0,1-1.jpg | 1-2.jpg | 1.jpg | 2.jpg | 3.jpg | 4.jpg | 5.jpg | 6.jpg
Christmas Snow Globe,classic-angel-lantern,经典天使1(1).png,ok,1,0,经典天使1(1).png
Christmas Tree,angel-christmas-tree,圣诞树snow globe天使1(1).png,ok,1,0,圣诞树snow globe天使1(1).png
Christmas Snow Globe,church-nativity-lantern,小扁snow globe church1(1).png,ok,1,0,小扁snow globe church1(1).png
